MouseID,Ejection_Fraction,Fractional_Shortening,Diameter_s,Diameter_d,Volume_s,Volume_d,LVAW_s,LVAW_d,LVPW_s,LVPW_d,LV_Mass,LV_Mass_Cor,Cardiac_Index,Cardiac_Output,Stroke_Volume,R_Amplitude_(V),Heart_Rate,JT_Interval_(s),Tpeak_Tend_Interval_(s),QT_Interval_(s),QTc_(s),S_Amplitude_(V),QRS_Interval_(s),Q_Amplitude_(V),CD3+CD4+,CD3+CD4+IL-2+,CD3+CD4+IL-4+,CD3+CD4+IFNg+,CD3+CD4+IL-17+,CD3+CD4+TNFa+,CD3+CD8+,CD3+CD8+IL-2+,CD3+CD8+IL-4+,CD3+CD8+IFNg+,CD3+CD8+IL-17+,CD3+CD8+TNFa+,Liver_Weight_Body_Weight_ratio,Liver_Weight,Body_Weight,T_Amplitude_(V),Heart_Weight,Heart_Weight_Body_Weight_ratio,P_Amplitude_(V),RR_Interval_(s),P_Duration_(s),PR_Interval_(s)
614,76.122708,43.9235585,1.8799285,3.361516,10.8766225,46.291475,1.935495,1.193383,1.297619,0.8336,124.53546,99.6283685,0.636869558,15.858052,35.414852,1.219,447.646022,0.01023,0.007898,0.01898,0.04998,-0.04331,0.008749,0.04402,0.004,-0.0021,-0.0055,-0.0001,-0.0007,0.0004,-0.003,0.0064,0.0012,0.0013,0.0313,0.0012,0.058634538,1.46,24.9,0.1587,0.13,0.005220884,0.09401,0.1443,0.01661,0.04185
615,55.533844,28.195356,2.43758,3.390927,21.1494955,47.2294995,1.4087615,1.044101,1.351244,0.94003,122.3374585,97.8699665,0.41027737,9.4363795,26.080004,1.477,361.794848,0.009367,0.007061,0.01793,0.04432,-0.2868,0.008563,0.02419,-0.007,-0.004,0.009,0.0036,0.0012,0.0088,-0.031,-0.02,0.0072,0.007,0.0106,-0.0007,0.056956522,1.31,23,0.4715,0.12,0.005217391,0.14,0.1636,0.01451,0.03867
631,58.692064,30.422997,2.562339,3.6827775,23.743028,57.481715,1.6708365,1.0905415,1.1264985,0.842605,133.9153845,107.132308,0.471294216,11.1225435,33.738687,1.267,329.6529425,0.007338,0.005412,0.01569,0.04088,-0.4186,0.008355,0.01396,0.009,-0.0049,-0.0037,-0.00062,-0.0014,-0.0001,-0.008,0.004,-0.009,-0.0012,-0.0013,-0.0005,0.053813559,1.27,23.6,0.4224,0.17,0.00720339,0.09783,0.1475,0.01831,0.04255
632,73.26804,41.570192,2.1942825,3.7554035,16.1017745,60.232989,1.634277,0.823019,1.2353075,0.8512785,112.800244,90.240195,0.7454291,18.6357275,44.1312145,0.9832,422.28183,0.007727,0.005489,0.01688,0.0453,-0.354,0.009155,0.01815,-0.009,-0.0018,-0.0124,-0.0003,0.0003,-0.0013,0.008,-0.0044,-0.025,-0.0032,-0.0056,-0.0044,0.0616,1.54,25,0.5179,0.16,0.0064,0.1181,0.1389,0.01395,0.0381
633,62.214771,32.696625,2.3240565,3.453329,18.6059895,49.2606345,1.5422715,0.976776,1.336527,1.0206445,127.1746585,101.7397265,0.582348526,13.6269555,30.654645,1.327,444.2665375,0.01423,0.01308,0.02049,0.05432,0.2001,0.00629,0.03183,0.005,0.001,-0.0359,-0.0012,-0.0028,-0.0017,-0.007,0.0017,-0.0276,0.0018,0.0028,0.0048,0.051282051,1.2,23.4,0.4301,0.18,0.007692308,0.1102,0.1422,0.0141,0.03686
634,51.880843,26.021089,2.7708615,3.7455355,28.7997505,59.856436,1.4031885,0.9955795,1.117,0.837135,127.465504,101.9724035,0.532382926,13.7354795,31.056685,1.198,442.509474,0.009801,0.007843,0.01819,0.04924,-0.2136,0.008392,0.03589,-0.001,0.0006,-0.0086,0.0004,-0.0005,-0.0012,0,0.0008,-0.0025,0.0005,-0.0061,0.0007,0.053488372,1.38,25.8,0.4178,0.16,0.00620155,0.1116,0.1368,0.01688,0.03771
635,37.727196,17.8473505,3.1417645,3.824281,39.17341,62.904244,1.234433,0.961678,0.858803,0.6812105,113.182173,90.545738,0.393853018,8.743537,23.730834,0.9585,368.412367,0.008392,0.006105,0.01667,0.04289,-0.4327,0.00828,0.03241,-0.011,0.002,-0.0124,-0.0005,0.0015,-0.0009,0.012,0,-0.0045,0.0026,0.0052,-0.0017,0.055405405,1.23,22.2,0.5541,0.14,0.006306306,0.1015,0.1511,0.0157,0.03742
666,76.178785,43.8978705,1.917888,3.417887,11.459978,48.048368,1.766674,1.090524,1.195659,0.832186,118.3439485,94.675159,0.706836209,17.2468035,36.58839,0.829,471.379801,0.009372,0.006026,0.01781,0.04886,-0.0646,0.008497,0.002779,0.018,0.0024,0.0102,0.0004,-0.0044,-0.0009,-0.044,-0.0018,0.0086,0.0033,0.0163,0.003,0.059016393,1.44,24.4,0.138,0.15,0.006147541,0.157,0.1329,0.01394,0.0368
667,76.4477795,44.4566815,2.1150735,3.8078715,14.672236,62.28634,1.817166,1.051201,1.34866,0.8436865,137.1525465,109.7220375,0.740291639,18.063116,47.614104,1.2,379.3867155,0.01413,0.01064,0.02223,0.05699,-0.07385,0.008101,0.01342,-0.018,-0.022,0.002,0.0051,0.0184,-0.0016,0,-0.039,0.0067,-0.0081,0.0233,-0.0141,0.059016393,1.44,24.4,0.2525,0.15,0.006147541,0.09939,0.1522,0.01632,0.038
668,66.867887,36.222952,2.214906,3.470646,16.5907955,49.87796,1.579905,1.0468095,1.339565,0.933041,126.459766,101.167813,0.574025592,13.0877835,33.287165,0.5723,393.236678,0.00639,0.004322,0.01685,0.04369,-0.3403,0.01047,0.006125,-0.014,0.0203,0.0043,0.0023,0.0021,0.0009,0.001,0.0031,0.0008,-0.0002,0.0113,-0.0008,0.05745614,1.31,22.8,0.3799,0.16,0.007017544,0.09355,0.1489,0.021,0.04206
