filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,mass_all
X506_Group1B_70dpi_LV_top_281_B_C7_P129.mzXML,506,Group1B,naive,75,LV_top,C7,P129,0.179307752
X506_Group1B_70dpi_RA_281_B_C7_P125.mzXML,506,Group1B,naive,75,RA,C7,P125,0.038006006
X506_Group1B_70dpi_RV_bottom_281_B_C7_P141.mzXML,506,Group1B,naive,75,RV_bottom,C7,P141,0.067145148
X506_Group1B_70dpi_RV_top_281_B_C7_P137.mzXML,506,Group1B,naive,75,RV_top,C7,P137,0.057469794
X507_Group1B_70dpi_LA_282_B_C8_P121.mzXML,507,Group1B,naive,75,LA,C8,P121,0.141492465
X507_Group1B_70dpi_LV_bottom_282_B_C8_P133.mzXML,507,Group1B,naive,75,LV_bottom,C8,P133,0.13569281
X507_Group1B_70dpi_LV_top_282_B_C8_P129.mzXML,507,Group1B,naive,75,LV_top,C8,P129,0.144369211
X507_Group1B_70dpi_RA_282_B_C8_P125.mzXML,507,Group1B,naive,75,RA,C8,P125,0.035913108
X507_Group1B_70dpi_RV_bottom_282_B_C8_P141.mzXML,507,Group1B,naive,75,RV_bottom,C8,P141,0.040287172
X507_Group1B_70dpi_RV_top_282_B_C8_P137.mzXML,507,Group1B,naive,75,RV_top,C8,P137,0.031392871
X508_Group1B_70dpi_LA_283_B_C9_P121.mzXML,508,Group1B,naive,75,LA,C9,P121,0.075553019
X508_Group1B_70dpi_LV_bottom_283_B_C9_P133.mzXML,508,Group1B,naive,75,LV_bottom,C9,P133,0.141456484
X508_Group1B_70dpi_LV_top_283_B_C9_P129.mzXML,508,Group1B,naive,75,LV_top,C9,P129,0.110768809
X508_Group1B_70dpi_RA_283_B_C9_P125.mzXML,508,Group1B,naive,75,RA,C9,P125,0.094133335
X508_Group1B_70dpi_RV_bottom_283_B_C9_P141.mzXML,508,Group1B,naive,75,RV_bottom,C9,P141,0.038598039
X508_Group1B_70dpi_RV_top_283_B_C9_P137.mzXML,508,Group1B,naive,75,RV_top,C9,P137,0.058834642
X509_Group1B_70dpi_LA_284_B_C10_P121.mzXML,509,Group1B,naive,75,LA,C10,P121,0.197953693
X509_Group1B_70dpi_LV_bottom_284_B_C10_P133.mzXML,509,Group1B,naive,75,LV_bottom,C10,P133,0.051612567
X509_Group1B_70dpi_LV_top_284_B_C10_P129.mzXML,509,Group1B,naive,75,LV_top,C10,P129,0.155362813
X509_Group1B_70dpi_RA_284_B_C10_P125.mzXML,509,Group1B,naive,75,RA,C10,P125,0.048868326
X509_Group1B_70dpi_RV_bottom_284_B_C10_P141.mzXML,509,Group1B,naive,75,RV_bottom,C10,P141,0.042994408
