filename,NGP24h
org_pos_1201,1
org_pos_1597,1
org_pos_2708,1
org_pos_3743,1
aq_pos_2400,1
aq_pos_2979,1
org_pos_640,1
org_pos_713,1
org_pos_1900,1
org_pos_3064,1
org_pos_3147,1
aq_pos_2933,1
aq_pos_4363,1
org_pos_584,1
org_pos_1071,1
org_pos_1233,1
org_pos_2683,1
org_pos_2731,1
org_pos_2833,1
org_pos_2884,1
org_pos_2919,1
org_pos_3165,1
org_pos_3559,1
aq_pos_334,1
aq_pos_2324,1
aq_pos_2816,1
aq_pos_4132,1
org_pos_1253,1
org_pos_1475,1
org_pos_2388,1
org_pos_2496,1
org_pos_2706,1
org_pos_2807,1
org_pos_3466,1
aq_pos_2161,1
aq_pos_2835,1
aq_pos_3062,1
aq_pos_4521,1
aq_pos_5298,1
org_pos_710,1
org_pos_1093,1
org_pos_1337,1
org_pos_1503,1
org_pos_1798,1
org_pos_2301,1
org_pos_2324,1
org_pos_2803,1
org_pos_2868,1
org_pos_2872,1
org_pos_2882,1
org_pos_3127,1
org_pos_3467,1
aq_pos_4700,1
aq_pos_6005,1
org_pos_251,1
org_pos_268,1
org_pos_707,1
org_pos_1414,1
org_pos_2565,1
org_pos_2614,1
org_pos_2968,1
org_pos_3304,1
aq_pos_2142,1
aq_pos_2275,1
aq_pos_2964,1
aq_pos_4265,1
aq_pos_4593,1
aq_pos_5753,1
org_pos_1217,1
org_pos_2178,1
org_pos_3303,1
aq_pos_2150,1
aq_pos_3443,1
aq_pos_5435,1
org_pos_327,1
org_pos_1261,1
org_pos_2817,1
org_pos_2892,1
org_pos_3116,1
aq_pos_79,1
aq_pos_760,1
aq_pos_790,1
aq_pos_2246,1
aq_pos_2325,1
aq_pos_3195,1
aq_pos_4606,1
aq_pos_4670,1
aq_pos_5650,1
aq_pos_6569,1
org_pos_546,1
org_pos_678,1
org_pos_1225,1
org_pos_1626,1
org_pos_1666,1
org_pos_1711,1
org_pos_2528,1
org_pos_2554,1
org_pos_2605,1
org_pos_2787,1
org_pos_2815,1
org_pos_2856,1
org_pos_2873,1
org_pos_3027,1
org_pos_3037,1
org_pos_3073,1
org_pos_3223,1
org_pos_3311,1
aq_pos_2229,1
aq_pos_2625,1
aq_pos_2685,1
aq_pos_3665,1
aq_pos_4157,1
org_pos_1508,1
org_pos_1797,1
org_pos_2313,1
org_pos_2551,1
org_pos_2830,1
org_pos_2949,1
org_pos_2989,1
aq_pos_654,1
aq_pos_2335,1
aq_pos_4168,1
aq_pos_4274,1
aq_pos_4295,1
aq_pos_6180,1
org_pos_192,1
org_pos_215,1
org_pos_1593,1
org_pos_1691,1
org_pos_2561,1
org_pos_2586,1
org_pos_2592,1
org_pos_2718,1
org_pos_2976,1
aq_pos_707,1
aq_pos_2248,1
aq_pos_2451,1
aq_pos_5343,1
aq_pos_5453,1
org_pos_568,1
org_pos_1038,1
org_pos_1361,1
org_pos_2532,1
org_pos_2645,1
org_pos_2721,1
org_pos_2786,1
org_pos_2844,1
org_pos_2934,1
aq_pos_2355,1
aq_pos_4550,1
org_pos_1384,1
org_pos_1892,1
org_pos_2863,1
org_pos_3570,1
aq_pos_792,1
aq_pos_2138,1
aq_pos_2183,1
aq_pos_3039,1
org_pos_1227,1
org_pos_1439,1
org_pos_1627,1
org_pos_2563,1
org_pos_2939,1
org_pos_2980,1
aq_pos_2130,1
org_pos_82,1
org_pos_509,1
org_pos_1531,1
org_pos_2081,1
org_pos_2193,1
org_pos_2488,1
org_pos_2744,1
org_pos_2878,1
org_pos_3003,1
org_pos_3139,1
aq_pos_2869,1
aq_pos_3091,1
aq_pos_3662,1
aq_pos_3687,1
aq_pos_4153,1
aq_pos_4167,1
aq_pos_4336,1
aq_pos_4569,1
aq_pos_4576,1
org_pos_174,1
org_pos_225,1
org_pos_756,1
org_pos_962,1
org_pos_1768,1
org_pos_3159,1
org_pos_3487,1
org_pos_3752,1
aq_pos_2080,1
aq_pos_2274,1
aq_pos_2308,1
aq_pos_3320,1
aq_pos_3357,1
aq_pos_3725,1
aq_pos_3961,1
aq_pos_4310,1
aq_pos_6547,1
aq_pos_6866,1
org_pos_239,1
org_pos_825,1
org_pos_1298,1
org_pos_1862,1
org_pos_2723,1
org_pos_2854,1
org_pos_2924,1
org_pos_3030,1
org_pos_3627,1
aq_pos_2327,1
aq_pos_2606,1
aq_pos_2812,1
org_pos_1340,1
org_pos_2669,1
aq_pos_2089,1
aq_pos_2478,1
aq_pos_2877,1
aq_pos_3896,1
aq_pos_5112,1
aq_pos_5485,1
aq_pos_6624,1
org_pos_1614,1
org_pos_2035,1
org_pos_2658,1
org_pos_2778,1
org_pos_2899,1
org_pos_3010,1
org_pos_3023,1
org_pos_3088,1
aq_pos_144,1
aq_pos_2096,1
aq_pos_2174,1
aq_pos_2844,1
aq_pos_4897,1
aq_pos_5490,1
aq_pos_5816,1
org_pos_692,1
org_pos_1869,1
org_pos_1949,1
org_pos_2720,1
org_pos_2760,1
org_pos_2795,1
org_pos_3496,1
org_pos_3558,1
org_pos_3767,1
org_pos_3779,1
aq_pos_2304,1
aq_pos_2981,1
aq_pos_3372,1
aq_pos_3490,1
aq_pos_4266,1
aq_pos_5245,1
aq_pos_5448,1
org_pos_595,1
org_pos_1647,1
org_pos_2821,1
org_pos_2853,1
org_pos_2861,1
org_pos_3076,1
org_pos_3169,1
aq_pos_2403,1
aq_pos_2472,1
aq_pos_2956,1
aq_pos_4578,1
aq_pos_4614,1
aq_pos_4644,1
aq_pos_4753,1
org_pos_1536,1
org_pos_1548,1
org_pos_1696,1
org_pos_2360,1
org_pos_2469,1
org_pos_2703,1
org_pos_2834,1
org_pos_2841,1
org_pos_3059,1
org_pos_3193,1
aq_pos_2471,1
aq_pos_3823,1
aq_pos_4551,1
aq_pos_6456,1
