organ,LA,LVB,LVT,RA,RVB,RVT,sum_all
X373.202_2.56,0.00E+00,2.15E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000215
X766.574_4.17,0.00E+00,0.00E+00,2.16E-05,0.00E+00,0.00E+00,0,0.0000216
X748.511_3.295,0.00E+00,0.00E+00,0.00E+00,2.16E-05,0.00E+00,0,0.0000216
X541.361_2.79,2.16E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000216
X454.746_2.846,0.00E+00,0.00E+00,2.16E-05,0.00E+00,0.00E+00,0,0.0000216
X864.572_3.503,2.17E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000217
X266.095_2.66,2.18E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000218
X509.2_2.63,0.00E+00,0.00E+00,2.18E-05,0.00E+00,0.00E+00,0,0.0000218
X731.39_2.873,2.19E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000219
X756.516_3.487,0.00E+00,0.00E+00,0.00E+00,2.20E-05,0.00E+00,0,0.000022
X247.132_3.16,0.00E+00,0.00E+00,0.00E+00,2.21E-05,0.00E+00,0,0.0000221
X804.555_3.448,0.00E+00,0.00E+00,2.22E-05,0.00E+00,0.00E+00,0,0.0000222
X700.527_3.967,0.00E+00,0.00E+00,2.22E-05,0.00E+00,0.00E+00,0,0.0000222
X342.239_2.298,0.00E+00,0.00E+00,2.22E-05,0.00E+00,0.00E+00,0,0.0000222
X288.253_2.791,0.00E+00,2.25E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000225
X294.243_2.738,2.26E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000226
X312.253_3.01,0.00E+00,0.00E+00,0.00E+00,2.27E-05,0.00E+00,0,0.0000227
X784.547_3.642,0.00E+00,0.00E+00,2.27E-05,0.00E+00,0.00E+00,0,0.0000227
X365.196_2.648,0.00E+00,0.00E+00,2.27E-05,0.00E+00,0.00E+00,0,0.0000227
X714.506_3.709,0.00E+00,0.00E+00,0.00E+00,2.28E-05,0.00E+00,0,0.0000228
X548.263_2.652,0.00E+00,0.00E+00,0.00E+00,2.28E-05,0.00E+00,0,0.0000228
X261.65_2.248,0.00E+00,0.00E+00,0.00E+00,2.32E-05,0.00E+00,0,0.0000232
X445.209_2.234,0.00E+00,0.00E+00,0.00E+00,2.33E-05,0.00E+00,0,0.0000233
X544.305_2.706,0.00E+00,0.00E+00,2.34E-05,0.00E+00,0.00E+00,0,0.0000234
X668.546_3.853,0.00E+00,0.00E+00,0.00E+00,2.35E-05,0.00E+00,0,0.0000235
X542.799_2.245,0.00E+00,0.00E+00,0.00E+00,2.36E-05,0.00E+00,0,0.0000236
X590.793_2.315,0.00E+00,2.37E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000237
X748.512_3.36,0.00E+00,0.00E+00,0.00E+00,2.38E-05,0.00E+00,0,0.0000238
X738.506_3.664,0.00E+00,0.00E+00,0.00E+00,2.39E-05,0.00E+00,0,0.0000239
X163.145_0.427,0.00E+00,2.39E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000239
X445.99_0.31,0.00E+00,0.00E+00,0.00E+00,2.40E-05,0.00E+00,0,0.000024
X217.108_2.231,2.40E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.000024
X704.807_2.338,0.00E+00,0.00E+00,2.41E-05,0.00E+00,0.00E+00,0,0.0000241
X495.998_0.312,0.00E+00,2.41E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000241
X112.036_4.793,2.42E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000242
X323.097_0.307,0.00E+00,2.43E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000243
X518.253_2.614,0.00E+00,0.00E+00,2.44E-05,0.00E+00,0.00E+00,0,0.0000244
X788.616_3.191,0.00E+00,2.44E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000244
X326.342_3.543,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000246,0.0000246
X379.248_2.828,0.00E+00,0.00E+00,2.48E-05,0.00E+00,0.00E+00,0,0.0000248
X604.327_2.639,0.00E+00,0.00E+00,0.00E+00,2.52E-05,0.00E+00,0,0.0000252
X365.196_2.646,0.00E+00,0.00E+00,2.52E-05,0.00E+00,0.00E+00,0,0.0000252
X577.519_5.582,0.00E+00,0.00E+00,2.53E-05,0.00E+00,0.00E+00,0,0.0000253
X603.535_3.742,2.53E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000253
X587.343_2.879,2.53E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000253
X241.126_2.655,0.00E+00,2.54E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000254
X354.264_2.541,0.00E+00,0.00E+00,0.00E+00,2.56E-05,0.00E+00,0,0.0000256
X152.057_0.404,0.00E+00,0.00E+00,2.57E-05,0.00E+00,0.00E+00,0,0.0000257
X369.264_2.56,0.00E+00,0.00E+00,2.57E-05,0.00E+00,0.00E+00,0,0.0000257
X325.274_3.185,0.00E+00,2.58E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000258
X189.047_2.257,0.00E+00,0.00E+00,2.58E-05,0.00E+00,0.00E+00,0,0.0000258
X407.243_2.715,0.00E+00,0.00E+00,2.61E-05,0.00E+00,0.00E+00,0,0.0000261
X345.155_2.651,2.64E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000264
X189.124_0.309,0.00E+00,0.00E+00,2.64E-05,0.00E+00,0.00E+00,0,0.0000264
X564.535_4.148,2.65E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000265
X810.563_3.543,0.00E+00,0.00E+00,2.66E-05,0.00E+00,0.00E+00,0,0.0000266
X736.543_5.021,2.67E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000267
X612.505_3.204,0.00E+00,0.00E+00,0.00E+00,2.68E-05,0.00E+00,0,0.0000268
X622.613_4.944,1.64E-05,0.00E+00,1.06E-05,0.00E+00,0.00E+00,0,0.000027
X478.322_2.93,2.70E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.000027
X556.302_2.972,0.00E+00,0.00E+00,2.75E-05,0.00E+00,0.00E+00,0,0.0000275
X452.395_3.267,0.00E+00,0.00E+00,0.00E+00,2.75E-05,0.00E+00,0,0.0000275
X302.233_2.51,0.00E+00,2.75E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000275
X614.443_2.769,0.00E+00,2.75E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000275
X250.178_3.373,2.77E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000277
X267.117_2.199,0.00E+00,0.00E+00,2.78E-05,0.00E+00,0.00E+00,0,0.0000278
X122.06_0.366,0.00E+00,0.00E+00,2.79E-05,0.00E+00,0.00E+00,0,0.00002787
X550.791_2.41,0.00E+00,2.80E-05,0.00E+00,0.00E+00,0.00E+00,0,0.000028
X436.4_3.285,0.00E+00,0.00E+00,0.00E+00,2.81E-05,0.00E+00,0,0.0000281
X796.621_5.599,0.00E+00,0.00E+00,2.83E-05,0.00E+00,0.00E+00,0,0.00002834
X407.346_3.518,0.00E+00,0.00E+00,0.00E+00,2.86E-05,0.00E+00,0,0.0000286
X325.216_2.824,0.00E+00,0.00E+00,2.87E-05,0.00E+00,0.00E+00,0,0.0000287
X492.308_2.804,0.00E+00,0.00E+00,2.89E-05,0.00E+00,0.00E+00,0,0.0000289
X636.965_2.251,0.00E+00,0.00E+00,0.00E+00,2.90E-05,0.00E+00,0,0.000029
X718.574_5.582,0.00E+00,0.00E+00,2.92E-05,0.00E+00,0.00E+00,0,0.0000292
X766.573_4.241,0.00E+00,0.00E+00,2.95E-05,0.00E+00,0.00E+00,0,0.0000295
X102.092_2.441,0.00E+00,0.00E+00,2.96E-05,0.00E+00,0.00E+00,0,0.0000296
X605.352_2.287,0.00E+00,2.96E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000296
