organ,LA,LVB,LVT,RA,RVB,RVT
X815.699_3.272,2.73E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X312.158_5.646,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000274
X452.206_2.363,2.77E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X243.183_2.106,0.00E+00,2.78E-05,0.00E+00,0.00E+00,0.00E+00,0
X717.554_3.533,2.79E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X520.234_2.371,2.79E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X117.07_2.579,0.00E+00,2.80E-05,0.00E+00,0.00E+00,0.00E+00,0
X307.217_2.716,0.00E+00,0.00E+00,0.00E+00,2.80E-05,0.00E+00,0
X516.236_2.576,0.00E+00,2.81E-05,0.00E+00,0.00E+00,0.00E+00,0
X287.889_5.958,2.82E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X170.092_5.28,0.00E+00,0.00E+00,0.00E+00,2.83E-05,0.00E+00,0
X647.485_3.751,0.00E+00,0.00E+00,0.00E+00,2.84E-05,0.00E+00,0
X170.986_0.93,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.85E-05,0
X459.281_2.284,0.00E+00,0.00E+00,2.85E-05,0.00E+00,0.00E+00,0
X372.347_2.911,0.00E+00,2.85E-05,0.00E+00,0.00E+00,0.00E+00,0
X844.546_3.486,2.86E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X291.254_2.998,0.00E+00,2.87E-05,0.00E+00,0.00E+00,0.00E+00,0
X396.275_2.709,0.00E+00,2.88E-05,0.00E+00,0.00E+00,0.00E+00,0
X722.505_3.058,2.89E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X550.457_2.416,2.90E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X531.577_2.252,2.92E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X285.206_2.208,2.95E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X594.06_2.176,2.96E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X237.185_3.468,2.97E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X329.182_0.439,2.97E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X701.409_5.023,2.97E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X425.157_2.713,0.00E+00,0.00E+00,0.00E+00,2.98E-05,0.00E+00,0
X617.513_3.952,2.98E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X185.154_1.839,0.00E+00,0.00E+00,2.99E-05,0.00E+00,0.00E+00,0
X384.237_2.464,0.00E+00,3.00E-05,0.00E+00,0.00E+00,0.00E+00,0
X323.097_0.307,0.00E+00,0.00E+00,3.00E-05,0.00E+00,0.00E+00,0
X157.122_2.034,0.00E+00,0.00E+00,3.01E-05,0.00E+00,0.00E+00,0
X273.147_5.62,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000301
X818.322_2.401,0.00E+00,0.00E+00,3.02E-05,0.00E+00,0.00E+00,0
X260.223_2.558,3.02E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X365.316_3.297,3.05E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X1494.147_5.64,0.00E+00,0.00E+00,3.09E-05,0.00E+00,0.00E+00,0
X640.514_3.792,3.10E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X852.549_3.694,3.10E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X773.936_2.401,3.10E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X328.321_3.261,0.00E+00,0.00E+00,3.11E-05,0.00E+00,0.00E+00,0
X629.64_2.237,3.12E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X690.69_2.46,3.13E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X259.19_2.795,0.00E+00,0.00E+00,0.00E+00,3.13E-05,0.00E+00,0
X450.227_2.354,3.15E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X790.576_5.595,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000316
X148.097_0.564,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000321
X454.278_3.149,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.21E-05,0
X455.587_2.2,3.24E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X676.388_2.294,3.26E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X675.677_3.534,3.30E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X391.342_3.278,0.00E+00,0.00E+00,3.32E-05,0.00E+00,0.00E+00,0
X418.353_2.774,3.35E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X858.596_5.546,0.00E+00,0.00E+00,3.35E-05,0.00E+00,0.00E+00,0
X240.079_0.629,3.35E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X730.632_2.409,3.36E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X242.284_2.725,0.00E+00,0.00E+00,3.36E-05,0.00E+00,0.00E+00,0
X168.125_5.575,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000337
X277.142_5.61,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000339
X414.236_2.191,3.40E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X311.136_2.89,0.00E+00,3.42E-05,0.00E+00,0.00E+00,0.00E+00,0
X163.145_0.427,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000342
X732.546_3.081,0.00E+00,0.00E+00,3.44E-05,0.00E+00,0.00E+00,0
X424.363_3.001,0.00E+00,0.00E+00,0.00E+00,3.45E-05,0.00E+00,0
X804.553_5.572,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.46E-05,0
X432.296_3.158,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.47E-05,0
X222.663_2.095,3.47E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X407.258_5.641,3.48E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X818.604_4.012,3.48E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X648.629_5.246,3.48E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X338.476_3.558,3.49E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X584.207_2.096,3.53E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X241.227_2.948,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000353
X401.288_2.989,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.53E-05,0
X224.949_0.446,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.53E-05,0
X315.205_5.607,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000355
X542.745_2.067,3.56E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X748.475_3.146,0.00E+00,3.57E-05,0.00E+00,0.00E+00,0.00E+00,0
X263.163_5.608,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000357
X816.589_3.975,3.62E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X112.036_5.024,0.00E+00,0.00E+00,0.00E+00,3.63E-05,0.00E+00,0
X748.512_3.36,3.63E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X605.456_3.035,3.64E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X316.285_2.96,0.00E+00,0.00E+00,0.00E+00,3.66E-05,0.00E+00,0
X592.325_2.825,0.00E+00,0.00E+00,3.66E-05,0.00E+00,0.00E+00,0
X561.38_2.951,0.00E+00,3.69E-05,0.00E+00,0.00E+00,0.00E+00,0
X796.548_3.529,0.00E+00,3.69E-05,0.00E+00,0.00E+00,0.00E+00,0
X167.107_2.012,0.00E+00,0.00E+00,3.71E-05,0.00E+00,0.00E+00,0
X1040.532_2.538,0.00E+00,0.00E+00,3.72E-05,0.00E+00,0.00E+00,0
X756.48_3.27,2.40E-05,0.00E+00,1.33E-05,0.00E+00,0.00E+00,0
X484.177_2.427,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000374
X232.025_0.317,3.79E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X446.736_5.608,0.00E+00,0.00E+00,3.80E-05,0.00E+00,0.00E+00,0
X410.406_2.232,3.82E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X235.168_5.638,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000382
X750.705_2.463,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000383
X449.252_2.742,0.00E+00,3.83E-05,0.00E+00,0.00E+00,0.00E+00,0
X533.664_2.139,3.84E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X374.198_0.418,3.85E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X434.275_2.677,3.87E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X626.33_3.247,3.87E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X979.577_2.905,3.89E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X435.482_2.212,9.02E-06,2.99E-05,0.00E+00,0.00E+00,0.00E+00,0
X722.47_3.124,7.99E-06,0.00E+00,0.00E+00,0.00E+00,3.10E-05,0
X528.366_2.864,1.56E-05,0.00E+00,2.34E-05,0.00E+00,0.00E+00,0
X475.283_2.654,3.90E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X827.271_2.769,1.44E-05,2.46E-05,0.00E+00,0.00E+00,0.00E+00,0
X317.701_2.33,3.90E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X594.582_4.804,3.91E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X616.176_2.756,0.00E+00,0.00E+00,3.92E-05,0.00E+00,0.00E+00,0
X311.129_2.883,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.96E-05,0
X391.284_3.524,3.97E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X584.473_3.112,0.00E+00,0.00E+00,3.97E-05,0.00E+00,0.00E+00,0
X674.354_2.252,3.97E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X488.242_2.487,0.00E+00,2.27E-05,1.71E-05,0.00E+00,0.00E+00,0
X662.439_3.169,6.91E-06,0.00E+00,3.32E-05,0.00E+00,0.00E+00,0
X149.013_0.333,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000402
X287.174_5.612,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000404
X389.201_2.045,4.05E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X437.194_2.847,0.00E+00,4.07E-05,0.00E+00,0.00E+00,0.00E+00,0
X328.224_2.218,4.09E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X325.228_3.027,4.09E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X892.53_3.261,0.00E+00,0.00E+00,4.10E-05,0.00E+00,0.00E+00,0
X787.432_2.247,2.61E-05,1.51E-05,0.00E+00,0.00E+00,0.00E+00,0
X461.239_2.181,1.49E-05,0.00E+00,2.67E-05,0.00E+00,0.00E+00,0
X539.415_3.114,0.00E+00,0.00E+00,4.16E-05,0.00E+00,0.00E+00,0
X745.622_5.6,4.16E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X512.335_2.828,0.00E+00,0.00E+00,4.20E-05,0.00E+00,0.00E+00,0
X536.3_2.65,4.26E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X425.41_3.207,0.00E+00,0.00E+00,0.00E+00,4.26E-05,0.00E+00,0
X241.204_2.403,0.00E+00,0.00E+00,0.00E+00,4.28E-05,0.00E+00,0
X492.759_5.605,0.00E+00,0.00E+00,4.28E-05,0.00E+00,0.00E+00,0
X104.956_5.678,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0000428
