filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,mass_all
X510_Group1B_70dpi_LA_285_B_C11_P121.mzXML,510,Group1B,naive,DPI_75,LA,C11,P121,0.010014829
X510_Group1B_70dpi_LV_bottom_285_B_C11_P133.mzXML,510,Group1B,naive,DPI_75,LV_bottom,C11,P133,0.00444788
X510_Group1B_70dpi_LV_top_285_B_C11_P129.mzXML,510,Group1B,naive,DPI_75,LV_top,C11,P129,0.027608495
X510_Group1B_70dpi_RA_285_B_C11_P125.mzXML,510,Group1B,naive,DPI_75,RA,C11,P125,0.010108216
X510_Group1B_70dpi_RV_bottom_285_B_C11_P141.mzXML,510,Group1B,naive,DPI_75,RV_bottom,C11,P141,0.004313951
X510_Group1B_70dpi_RV_top_285_B_C11_P137.mzXML,510,Group1B,naive,DPI_75,RV_top,C11,P137,0.002873542
X526_Group1B_70dpi_LA_286_B_C12_P121.mzXML,526,Group1B,naive,DPI_75,LA,C12,P121,0.016979521
X526_Group1B_70dpi_LV_bottom_286_B_C12_P133.mzXML,526,Group1B,naive,DPI_75,LV_bottom,C12,P133,0.009169545
X526_Group1B_70dpi_LV_top_286_B_C12_P129.mzXML,526,Group1B,naive,DPI_75,LV_top,C12,P129,0.019658683
X526_Group1B_70dpi_RA_286_B_C12_P125.mzXML,526,Group1B,naive,DPI_75,RA,C12,P125,0.010697319
X526_Group1B_70dpi_RV_bottom_286_B_C12_P141.mzXML,526,Group1B,naive,DPI_75,RV_bottom,C12,P141,0.008248915
X526_Group1B_70dpi_RV_top_286_B_C12_P137.mzXML,526,Group1B,naive,DPI_75,RV_top,C12,P137,0.003054824
X527_Group1B_70dpi_LA_287_B_D1_P121.mzXML,527,Group1B,naive,DPI_75,LA,D1,P121,0.029674191
X527_Group1B_70dpi_LV_bottom_287_B_D1_P133.mzXML,527,Group1B,naive,DPI_75,LV_bottom,D1,P133,0.015693538
X527_Group1B_70dpi_LV_top_287_B_D1_P129.mzXML,527,Group1B,naive,DPI_75,LV_top,D1,P129,0.037867967
X527_Group1B_70dpi_RA_287_B_D1_P125.mzXML,527,Group1B,naive,DPI_75,RA,D1,P125,0.004336637
