"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","CAR_mid_chain","CAR_long_chain"
"X740_Group3B_70dpi_LA_310_B_E12_P121.mzXML",740,"Group3B","infected","DPI_75","LA","E12","P121",0,0.000179938
"X581_Group3E_142dpi_LA_176_G_B4_P120.mzXML",581,"Group3E","infected","DPI_142","LA","B4","P120",0,0.001375106
"X582_Group3E_142dpi_LA_177_G_B5_P120.mzXML",582,"Group3E","infected","DPI_142","LA","B5","P120",0,0.001090347
"X583_Group3E_142dpi_LA_178_G_B6_P120.mzXML",583,"Group3E","infected","DPI_142","LA","B6","P120",0,0.002862502
"X584_Group3E_142dpi_LA_179_G_B7_P120.mzXML",584,"Group3E","infected","DPI_142","LA","B7","P120",0,0.004437563
"X585_Group3E_142dpi_LA_180_G_B8_P120.mzXML",585,"Group3E","infected","DPI_142","LA","B8","P120",0,0.003129263
"X666_Group3E_142dpi_LA_201_G_D5_P120.mzXML",666,"Group3E","infected","DPI_142","LA","D5","P120",0,0.003986599
"X667_Group3E_142dpi_LA_202_G_D6_P120.mzXML",667,"Group3E","infected","DPI_142","LA","D6","P120",0,0.001532614
"X668_Group3E_142dpi_LA_203_G_D7_P120.mzXML",668,"Group3E","infected","DPI_142","LA","D7","P120",0,0.002406818
"X669_Group3E_142dpi_LA_204_G_D8_P120.mzXML",669,"Group3E","infected","DPI_142","LA","D8","P120",0,0.000802385
"X670_Group3E_142dpi_LA_205_G_D9_P120.mzXML",670,"Group3E","infected","DPI_142","LA","D9","P120",0,0.003235769
"X751_Group3E_142dpi_LA_226_G_F6_P120.mzXML",751,"Group3E","infected","DPI_142","LA","F6","P120",0,0.002701864
"X752_Group3E_142dpi_LA_227_G_F7_P120.mzXML",752,"Group3E","infected","DPI_142","LA","F7","P120",0,0.002079755
"X753_Group3E_142dpi_LA_228_G_F8_P120.mzXML",753,"Group3E","infected","DPI_142","LA","F8","P120",0,0.000738733
"X754_Group3E_142dpi_LA_229_G_F9_P120.mzXML",754,"Group3E","infected","DPI_142","LA","F9","P120",0,0.00039849
"X755_Group3E_142dpi_LA_230_G_F10_P120.mzXML",755,"Group3E","infected","DPI_142","LA","F10","P120",0,0.001300849
