DPI,DPI_50,DPI_75,DPI_142,sum
X646.301_2.451,2.82E-05,0.00E+00,0,0.0000282
X313.186_2.115,0.00E+00,2.83E-05,0,0.0000283
X508.376_3.076,0.00E+00,2.85E-05,0,0.0000285
X289.18_2.87,0.00E+00,2.87E-05,0,0.0000287
X407.337_3.13,2.88E-05,0.00E+00,0,0.0000288
X844.524_3.844,2.89E-05,0.00E+00,0,0.0000289
X812.521_3.604,1.11E-05,1.80E-05,0,0.0000291
X620.598_4.648,1.11E-05,1.81E-05,0,0.0000292
X531.577_2.252,0.00E+00,2.92E-05,0,0.0000292
X285.206_2.208,0.00E+00,2.95E-05,0,0.0000295
X773.653_5.629,0.00E+00,0.00E+00,0.0000296,0.0000296
X329.182_0.439,0.00E+00,2.97E-05,0,0.0000297
X301.075_2.705,0.00E+00,2.98E-05,0,0.0000298
X512.336_2.725,1.42E-05,0.00E+00,0.0000157,0.0000299
X557.18_2.732,0.00E+00,3.03E-05,0,0.0000303
X365.316_3.297,0.00E+00,3.05E-05,0,0.0000305
X143.04_6.076,3.08E-05,0.00E+00,0,0.0000308
X506.318_2.259,0.00E+00,3.08E-05,0,0.0000308
X852.549_3.694,0.00E+00,3.10E-05,0,0.000031
X773.936_2.401,0.00E+00,3.10E-05,0,0.000031
X629.64_2.237,0.00E+00,3.12E-05,0,0.0000312
X690.69_2.46,0.00E+00,3.13E-05,0,0.0000313
X428.301_2.691,1.56E-05,1.58E-05,0,0.0000314
X333.206_2.805,0.00E+00,3.19E-05,0,0.0000319
X1318.665_3.329,3.21E-05,0.00E+00,0,0.0000321
X589.429_3.279,3.22E-05,0.00E+00,0,0.0000322
X241.227_2.948,3.22E-05,0.00E+00,0,0.0000322
X211.079_2.777,3.22E-05,0.00E+00,0,0.0000322
X391.342_3.278,3.22E-05,0.00E+00,0,0.0000322
X419.208_2.504,0.00E+00,3.23E-05,0,0.0000323
X389.232_2.717,0.00E+00,3.23E-05,0,0.0000323
X304.892_6.018,0.00E+00,3.25E-05,0,0.0000325
X676.388_2.294,0.00E+00,3.26E-05,0,0.0000326
X748.583_3.524,0.00E+00,0.00E+00,0.0000328,0.0000328
X754.5_3.36,0.00E+00,3.31E-05,0,0.0000331
X476.374_2.929,1.15E-05,2.17E-05,0,0.0000332
X832.584_3.997,0.00E+00,0.00E+00,0.0000333,0.0000333
X366.264_2.706,0.00E+00,3.34E-05,0,0.0000334
X628.5_3.232,3.34E-05,0.00E+00,0,0.0000334
X240.079_0.629,0.00E+00,3.35E-05,0,0.0000335
X730.632_2.409,0.00E+00,3.36E-05,0,0.0000336
X714.47_3.288,0.00E+00,0.00E+00,0.0000337,0.0000337
X156.041_0.433,0.00E+00,3.38E-05,0,0.0000338
X155.988_6.157,0.00E+00,0.00E+00,0.0000339,0.0000339
X474.343_2.839,3.39E-05,0.00E+00,0,0.0000339
X414.236_2.191,0.00E+00,3.40E-05,0,0.000034
X556.277_2.159,0.00E+00,1.52E-05,0.0000189,0.0000341
X263.081_2.818,0.00E+00,0.00E+00,0.0000342,0.0000342
X519.14_3.474,3.44E-05,0.00E+00,0,0.0000344
X271.104_0.331,0.00E+00,0.00E+00,0.0000344,0.0000344
X222.663_2.095,0.00E+00,3.47E-05,0,0.0000347
X818.604_4.012,0.00E+00,3.48E-05,0,0.0000348
X476.228_2.773,1.74E-05,1.75E-05,0,0.0000349
X634.336_2.536,1.38E-05,2.14E-05,0,0.0000352
X463.165_2.925,3.52E-05,0.00E+00,0,0.0000352
X445.367_3.761,2.65E-05,8.93E-06,0,0.00003543
X542.745_2.067,0.00E+00,3.56E-05,0,0.0000356
X793.527_4.956,3.57E-05,0.00E+00,0,0.0000357
X545.403_3.255,3.61E-05,0.00E+00,0,0.0000361
X816.589_3.975,0.00E+00,3.62E-05,0,0.0000362
X748.512_3.36,0.00E+00,3.63E-05,0,0.0000363
X399.764_5.68,0.00E+00,0.00E+00,0.0000363,0.0000363
X605.456_3.035,0.00E+00,3.64E-05,0,0.0000364
X818.322_2.401,0.00E+00,0.00E+00,0.000037,0.000037
X824.538_5.541,0.00E+00,1.82E-05,0.0000189,0.0000371
X397.22_2.071,0.00E+00,3.72E-05,0,0.0000372
X544.304_2.727,1.10E-05,2.63E-05,0,0.0000373
X415.261_5.724,0.00E+00,0.00E+00,0.0000373,0.0000373
X472.399_2.958,0.00E+00,1.80E-05,0.0000194,0.0000374
X298.115_0.465.1,3.74E-05,0.00E+00,0,0.0000374
X659.287_3.323,0.00E+00,3.76E-05,0,0.0000376
X802.557_3.396,3.77E-05,0.00E+00,0,0.0000377
X646.613_4.656,1.90E-05,1.88E-05,0,0.0000378
X602.346_2.773,0.00E+00,3.80E-05,0,0.000038
X820.378_2.391,0.00E+00,3.81E-05,0,0.0000381
X518.323_2.92,3.81E-05,0.00E+00,0,0.0000381
X740.522_3.75,3.81E-05,0.00E+00,0,0.0000381
X137.038_5.784,0.00E+00,0.00E+00,0.0000381,0.0000381
X405.3_3.21,3.84E-05,0.00E+00,0,0.0000384
X374.198_0.418,0.00E+00,3.85E-05,0,0.0000385
X240.079_0.487,0.00E+00,3.85E-05,0,0.0000385
X979.577_2.905,0.00E+00,3.89E-05,0,0.0000389
X317.701_2.33,0.00E+00,3.90E-05,0,0.000039
X572.298_2.749,1.71E-05,2.20E-05,0,0.0000391
X510.437_3.189,1.38E-05,2.56E-05,0,0.0000394
X674.354_2.252,0.00E+00,3.97E-05,0,0.0000397
X796.584_4.19,4.00E-05,0.00E+00,0,0.00004
X684.373_2.982,0.00E+00,0.00E+00,0.0000402,0.0000402
X516.299_2.762,4.03E-05,0.00E+00,0,0.0000403
X179.049_2.292,1.86E-05,2.17E-05,0,0.0000403
X347.224_2.763,0.00E+00,4.05E-05,0,0.0000405
X389.201_2.045,0.00E+00,4.05E-05,0,0.0000405
X835.666_5.549,0.00E+00,0.00E+00,0.0000408,0.0000408
X200.984_0.333,4.08E-05,0.00E+00,0,0.0000408
X486.097_2.773,0.00E+00,0.00E+00,0.0000409,0.0000409
X325.228_3.027,0.00E+00,4.09E-05,0,0.0000409
X328.224_2.218,0.00E+00,4.09E-05,0,0.0000409
X804.515_3.427,3.39E-05,7.16E-06,0,0.00004106
X745.622_5.6,0.00E+00,4.16E-05,0,0.0000416
X717.554_3.533,1.40E-05,2.79E-05,0,0.0000419
X445.99_0.31,4.20E-05,0.00E+00,0,0.000042
X922.611_2.391,0.00E+00,0.00E+00,0.000042,0.000042
X112.036_4.793,1.79E-05,0.00E+00,0.0000242,0.0000421
X291.159_2.637,0.00E+00,0.00E+00,0.0000422,0.0000422
X745.603_2.438,4.24E-05,0.00E+00,0,0.0000424
X397.382_4.184,2.40E-05,0.00E+00,0.0000184,0.0000424
X403.32_3.193,0.00E+00,0.00E+00,0.0000426,0.0000426
X290.61_2.88,2.94E-05,1.33E-05,0,0.0000427
X132.549_4.966,2.48E-05,0.00E+00,0.000018,0.0000428
X432.296_3.158,4.29E-05,0.00E+00,0,0.0000429
X773.446_2.985,0.00E+00,4.31E-05,0,0.0000431
X778.537_3.785,1.81E-05,2.51E-05,0,0.0000432
X441.21_2.551,2.23E-05,0.00E+00,0.000021,0.0000433
X418.223_2.772,0.00E+00,1.65E-05,0.000027,0.0000435
X303.131_0.336,4.37E-05,0.00E+00,0,0.0000437
X775.41_2.4,0.00E+00,4.40E-05,0,0.000044
X366.299_3.044,0.00E+00,0.00E+00,0.000044,0.000044
X432.278_2.561,0.00E+00,4.41E-05,0,0.0000441
X423.237_2.655,0.00E+00,4.44E-05,0,0.0000444
X244.98_0.316,4.44E-05,0.00E+00,0,0.0000444
X460.242_2.131,0.00E+00,4.45E-05,0,0.0000445
X437.915_2.204,0.00E+00,4.47E-05,0,0.0000447
X898.612_3.158,0.00E+00,0.00E+00,0.0000449,0.0000449
X272.088_2.17,4.49E-05,0.00E+00,0,0.0000449
X439.233_2.586,0.00E+00,0.00E+00,0.0000452,0.0000452
X217.12_4.904,4.55E-05,0.00E+00,0,0.0000455
X398.363_2.963,2.47E-05,2.09E-05,0,0.0000456
X339.289_4.841,4.56E-05,0.00E+00,0,0.0000456
X477.212_2.432,0.00E+00,4.56E-05,0,0.0000456
X438.208_2.866,4.58E-05,0.00E+00,0,0.0000458
X238.082_2.33,4.61E-05,0.00E+00,0,0.0000461
X342.277_3.619,0.00E+00,4.62E-05,0,0.0000462
X824.565_3.13,0.00E+00,0.00E+00,0.0000464,0.0000464
X439.98_2.09,0.00E+00,2.06E-05,0.0000258,0.0000464
X408.354_5.59,4.66E-05,0.00E+00,0,0.0000466
X346.311_2.765,0.00E+00,4.67E-05,0,0.0000467
X850.578_3.381,0.00E+00,0.00E+00,0.0000468,0.0000468
X550.457_2.416,1.79E-05,2.90E-05,0,0.0000469
X450.227_2.354,0.00E+00,3.15E-05,0.0000156,0.0000471
