cluster_index,filename,MA,NG,MANG,impacted,class
aq_pos_6796,aq_pos_mass_196.108_1.306_6796,MA,not_impacted_by_treatment,MANG,MA and MANG,Organic acids and derivatives
aq_pos_6866,aq_pos_mass_250.093_0.586_6866,not_impacted_by_treatment,NG,MANG,NG and MANG,"Nucleosides, nucleotides, and analogues"
aq_pos_6869,aq_pos_mass_303.025_0.275_6869,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_6872,aq_pos_mass_1114.319_3.961_6872,MA,not_impacted_by_treatment,MANG,MA and MANG,No matches
aq_pos_6895,aq_pos_mass_754.991_3.916_6895,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_6947,aq_pos_mass_170.092_0.351_6947,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Organic acids and derivatives
aq_pos_6949,aq_pos_mass_194.117_1.046_6949,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_6998,aq_pos_mass_179.128_0.317_6998,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_7012,aq_pos_mass_180.065_2.219_7012,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Benzenoids
aq_pos_7034,aq_pos_mass_381.203_4.334_7034,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_726,aq_pos_mass_790.404_4.19_726,MA,NG,MANG,MA and NG and MANG,"Lignans, neolignans and related compounds"
aq_pos_736,aq_pos_mass_773.377_4.19_736,MA,NG,MANG,MA and NG and MANG,"Lignans, neolignans and related compounds"
aq_pos_764,aq_pos_mass_722.305_4.183_764,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_769,aq_pos_mass_634.452_4.473_769,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_771,aq_pos_mass_458.321_4.433_771,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_779,aq_pos_mass_133.065_3.695_779,MA,NG,MANG,MA and NG and MANG,Benzenoids
aq_pos_781,aq_pos_mass_436.308_4.439_781,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_789,aq_pos_mass_214.253_4.16_789,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_793,aq_pos_mass_230.247_4.163_793,MA,NG,MANG,MA and NG and MANG,Organic nitrogen compounds
aq_pos_798,aq_pos_mass_480.335_4.429_798,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_821,aq_pos_mass_283.175_3.317_821,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic oxygen compounds
aq_pos_83,aq_pos_mass_795.359_4.19_83,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_831,aq_pos_mass_590.426_4.48_831,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_832,aq_pos_mass_854.583_4.439_832,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_901,aq_pos_mass_860.886_4.074_901,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_1074,org_pos_mass_345.087_3.995_1074,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
org_pos_1092,org_pos_mass_300.198_3.488_1092,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_1095,org_pos_mass_718.575_5.167_1095,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Lipids and lipid-like molecules
org_pos_1104,org_pos_mass_126.022_0.348_1104,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic acids and derivatives
org_pos_113,org_pos_mass_634.453_4.461_113,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1148,org_pos_mass_133.065_3.761_1148,not_impacted_by_treatment,NG,MANG,NG and MANG,Benzenoids
org_pos_1162,org_pos_mass_238.1_3.504_1162,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Benzenoids
org_pos_1165,org_pos_mass_766.577_6.633_1165,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Lipids and lipid-like molecules
org_pos_1166,org_pos_mass_766.577_6.715_1166,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_1178,org_pos_mass_240.097_3.504_1178,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Benzenoids
org_pos_1179,org_pos_mass_784.585_6.61_1179,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic nitrogen compounds
org_pos_1188,org_pos_mass_570.356_4.277_1188,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1202,org_pos_mass_154.059_0.311_1202,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_1212,org_pos_mass_136.048_0.311_1212,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_1222,org_pos_mass_185.96_0.309_1222,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1224,org_pos_mass_178.057_3.663_1224,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1227,org_pos_mass_207.014_0.303_1227,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1230,org_pos_mass_400.342_4.46_1230,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
org_pos_1234,org_pos_mass_337.126_3.622_1234,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1236,org_pos_mass_291.121_3.784_1236,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1258,org_pos_mass_438.298_4.349_1258,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_126,org_pos_mass_181.026_0.466_126,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_127,org_pos_mass_140.068_0.309_127,MA,NG,not_impacted_by_treatment,MA and NG,No matches
org_pos_1286,org_pos_mass_100.113_0.311_1286,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1289,org_pos_mass_428.374_4.664_1289,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
org_pos_1290,org_pos_mass_290.086_0.317_1290,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_1293,org_pos_mass_111.117_3.452_1293,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_13,org_pos_mass_773.379_4.182_13,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1306,org_pos_mass_442.353_4.323_1306,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
org_pos_1311,org_pos_mass_198.087_0.292_1311,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Organic acids and derivatives
org_pos_1316,org_pos_mass_466.33_4.508_1316,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1361,org_pos_mass_174.149_0.323_1361,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic acids and derivatives
org_pos_1390,org_pos_mass_620.392_4.456_1390,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1416,org_pos_mass_245.15_3.926_1416,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
org_pos_1423,org_pos_mass_132.102_0.351_1423,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
org_pos_1435,org_pos_mass_125.016_3.504_1435,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
org_pos_1442,org_pos_mass_398.326_4.356_1442,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
org_pos_1451,org_pos_mass_267.132_3.926_1451,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
org_pos_1456,org_pos_mass_429.191_4.081_1456,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic oxygen compounds
org_pos_1457,org_pos_mass_372.311_4.296_1457,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
org_pos_1459,org_pos_mass_236.105_3.56_1459,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1465,org_pos_mass_269.139_3.784_1465,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic oxygen compounds
org_pos_1481,org_pos_mass_572.373_4.347_1481,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1488,org_pos_mass_440.338_4.233_1488,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
org_pos_1489,org_pos_mass_416.337_4.268_1489,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
org_pos_1491,org_pos_mass_1021.626_4.242_1491,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1492,org_pos_mass_159.117_3.76_1492,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1497,org_pos_mass_464.233_4.26_1497,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1515,org_pos_mass_114.061_0.278_1515,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_1527,org_pos_mass_548.372_4.365_1527,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1533,org_pos_mass_251.128_3.785_1533,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic oxygen compounds
org_pos_1543,org_pos_mass_510.356_4.368_1543,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1552,org_pos_mass_332.244_3.828_1552,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
org_pos_1574,org_pos_mass_263.128_3.7_1574,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1587,org_pos_mass_388.306_4.127_1587,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
org_pos_1592,org_pos_mass_991.673_4.299_1592,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1595,org_pos_mass_151.076_3.697_1595,not_impacted_by_treatment,NG,MANG,NG and MANG,Benzenoids
org_pos_1602,org_pos_mass_1290.632_4.78_1602,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1616,org_pos_mass_628.184_4.245_1616,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1617,org_pos_mass_302.306_4.349_1617,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic nitrogen compounds
org_pos_1627,org_pos_mass_243.207_3.791_1627,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1630,org_pos_mass_448.123_0.447_1630,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_1643,org_pos_mass_151.076_3.781_1643,not_impacted_by_treatment,NG,MANG,NG and MANG,Benzenoids
org_pos_1674,org_pos_mass_241.18_3.896_1674,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1681,org_pos_mass_370.295_4.24_1681,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Lipids and lipid-like molecules
org_pos_1684,org_pos_mass_279.123_3.625_1684,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1693,org_pos_mass_369.352_5.433_1693,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_17,org_pos_mass_336.121_4.149_17,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1705,org_pos_mass_444.369_4.426_1705,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
org_pos_1729,org_pos_mass_344.279_4.148_1729,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
org_pos_1731,org_pos_mass_279.123_3.775_1731,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1736,org_pos_mass_203.008_0.472_1736,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1738,org_pos_mass_251.086_3.671_1738,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1768,org_pos_mass_504.325_4.752_1768,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1772,org_pos_mass_133.065_3.63_1772,not_impacted_by_treatment,NG,MANG,NG and MANG,Benzenoids
org_pos_1777,org_pos_mass_768.557_6.756_1777,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_1788,org_pos_mass_440.205_3.63_1788,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_1793,org_pos_mass_375.065_0.305_1793,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_1798,org_pos_mass_139.988_6.902_1798,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1843,org_pos_mass_139.112_3.702_1843,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Lipids and lipid-like molecules
org_pos_1854,org_pos_mass_518.324_4.19_1854,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_1874,org_pos_mass_189.16_0.297_1874,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic acids and derivatives
org_pos_1892,org_pos_mass_692.453_4.452_1892,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1894,org_pos_mass_596.32_4.214_1894,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_1906,org_pos_mass_166.087_3.894_1906,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_1911,org_pos_mass_378.322_4.334_1911,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_1914,org_pos_mass_221.154_4.019_1914,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Lipids and lipid-like molecules
org_pos_1939,org_pos_mass_265.19_3.792_1939,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_1944,org_pos_mass_729.591_6.646_1944,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Lipids and lipid-like molecules
org_pos_2000,org_pos_mass_813.684_4.822_2000,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
org_pos_2015,org_pos_mass_198.053_0.466_2015,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_2023,org_pos_mass_135.117_4.192_2023,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Lipids and lipid-like molecules
org_pos_2047,org_pos_mass_398.326_4.401_2047,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
org_pos_2051,org_pos_mass_422.326_4.336_2051,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
org_pos_2072,org_pos_mass_453.369_4.152_2072,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_2119,org_pos_mass_360.275_3.986_2119,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
org_pos_2125,org_pos_mass_227.114_0.303_2125,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Organic acids and derivatives
org_pos_2131,org_pos_mass_414.322_4.185_2131,MA,NG,not_impacted_by_treatment,MA and NG,Organic oxygen compounds
org_pos_2143,org_pos_mass_1015.673_4.273_2143,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_215,org_pos_mass_281.139_3.732_215,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic oxygen compounds
org_pos_2159,org_pos_mass_759.639_6.713_2159,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_2176,org_pos_mass_470.385_4.472_2176,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
org_pos_2194,org_pos_mass_226.084_0.471_2194,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_2353,org_pos_mass_166.084_0.31_2353,MA,NG,MANG,MA and NG and MANG,Organic acids and derivatives
org_pos_243,org_pos_mass_332.331_4.544_243,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic acids and derivatives
org_pos_2439,org_pos_mass_468.369_4.374_2439,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Lipids and lipid-like molecules
org_pos_2466,org_pos_mass_358.295_4.205_2466,MA,NG,not_impacted_by_treatment,MA and NG,No matches
org_pos_2467,org_pos_mass_386.327_4.369_2467,MA,NG,not_impacted_by_treatment,MA and NG,No matches
org_pos_2514,org_pos_mass_192.159_0.32_2514,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_2542,org_pos_mass_306.264_4.187_2542,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_2555,org_pos_mass_440.337_4.108_2555,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
org_pos_2556,org_pos_mass_456.332_3.991_2556,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
org_pos_2565,org_pos_mass_474.343_3.775_2565,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
org_pos_2585,org_pos_mass_652.38_4.467_2585,MA,NG,MANG,MA and NG and MANG,Lipids and lipid-like molecules
org_pos_2588,org_pos_mass_468.368_4.218_2588,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Lipids and lipid-like molecules
org_pos_2604,org_pos_mass_828.54_4.64_2604,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_2606,org_pos_mass_662.4_4.556_2606,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_2607,org_pos_mass_512.218_4.229_2607,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_2608,org_pos_mass_201.087_0.409_2608,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_2710,org_pos_mass_668.415_4.495_2710,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_2711,org_pos_mass_312.326_4.955_2711,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic nitrogen compounds
org_pos_2718,org_pos_mass_812.616_6.818_2718,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_2727,org_pos_mass_201.16_3.608_2727,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_2824,org_pos_mass_706.431_4.321_2824,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_2915,org_pos_mass_413.338_4.41_2915,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_307,org_pos_mass_297.133_3.626_307,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic oxygen compounds
org_pos_3126,org_pos_mass_280.092_0.309_3126,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_3167,org_pos_mass_221.17_3.35_3167,MA,NG,not_impacted_by_treatment,MA and NG,No matches
org_pos_3168,org_pos_mass_599.391_3.49_3168,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Organoheterocyclic compounds
org_pos_3175,org_pos_mass_151.035_0.295_3175,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3176,org_pos_mass_370.295_4.219_3176,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
org_pos_3193,org_pos_mass_258.279_4.323_3193,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic nitrogen compounds
org_pos_322,org_pos_mass_227.201_4.234_322,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_3245,org_pos_mass_377.224_4.378_3245,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3301,org_pos_mass_303.232_4.386_3301,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_3320,org_pos_mass_850.539_4.583_3320,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3373,org_pos_mass_748.526_6.659_3373,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3463,org_pos_mass_184.073_6.607_3463,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic nitrogen compounds
org_pos_3467,org_pos_mass_836.603_4.657_3467,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3486,org_pos_mass_816.586_6.935_3486,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_350,org_pos_mass_109.102_3.883_350,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_3504,org_pos_mass_350.118_3.774_3504,MA,NG,not_impacted_by_treatment,MA and NG,Organic acids and derivatives
org_pos_355,org_pos_mass_297.242_4.37_355,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Lipids and lipid-like molecules
org_pos_3557,org_pos_mass_692.451_4.477_3557,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3558,org_pos_mass_405.158_4.355_3558,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3559,org_pos_mass_644.493_4.445_3559,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic nitrogen compounds
org_pos_3586,org_pos_mass_768.545_6.824_3586,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3587,org_pos_mass_768.546_6.684_3587,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3605,org_pos_mass_782.57_5.435_3605,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic nitrogen compounds
org_pos_3621,org_pos_mass_412.308_4.06_3621,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Lipids and lipid-like molecules
org_pos_3627,org_pos_mass_718.574_6.842_3627,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_3632,org_pos_mass_717.59_6.781_3632,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3635,org_pos_mass_219.174_6.751_3635,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3669,org_pos_mass_848.565_4.296_3669,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_368,org_pos_mass_114.066_0.254_368,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Organic acids and derivatives
org_pos_3740,org_pos_mass_300.289_4.29_3740,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3743,org_pos_mass_219.174_3.892_3743,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3752,org_pos_mass_159.014_0.364_3752,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3757,org_pos_mass_109.101_4.057_3757,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3763,org_pos_mass_233.153_3.899_3763,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
org_pos_3767,org_pos_mass_734.568_6.645_3767,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_3768,org_pos_mass_794.604_6.612_3768,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3774,org_pos_mass_770.616_6.686_3774,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3782,org_pos_mass_191.041_0.308_3782,MA,NG,MANG,MA and NG and MANG,No matches
org_pos_3843,org_pos_mass_367.245_4.105_3843,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3847,org_pos_mass_131.086_4.022_3847,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3848,org_pos_mass_177.127_3.888_3848,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_3891,org_pos_mass_682.431_4.37_3891,MA,NG,not_impacted_by_treatment,MA and NG,No matches
org_pos_43,org_pos_mass_118.123_0.309_43,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic acids and derivatives
org_pos_48,org_pos_mass_175.015_4.182_48,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic oxygen compounds
org_pos_522,org_pos_mass_376.259_4.164_522,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_55,org_pos_mass_230.248_4.167_55,MA,NG,MANG,MA and NG and MANG,Organic nitrogen compounds
org_pos_562,org_pos_mass_496.34_4.3_562,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_563,org_pos_mass_482.325_4.444_563,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_571,org_pos_mass_524.372_4.442_571,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_576,org_pos_mass_480.345_4.348_576,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_587,org_pos_mass_478.293_4.232_587,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_596,org_pos_mass_454.293_4.285_596,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_606,org_pos_mass_508.376_4.495_606,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_614,org_pos_mass_566.346_4.508_614,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_634,org_pos_mass_480.309_4.318_634,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_639,org_pos_mass_722.307_4.174_639,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_640,org_pos_mass_620.393_4.436_640,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_647,org_pos_mass_528.309_4.271_647,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
org_pos_7,org_pos_mass_790.406_4.18_7,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_707,org_pos_mass_257.222_3.87_707,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_71,org_pos_mass_118.087_0.324_71,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic acids and derivatives
org_pos_713,org_pos_mass_277.217_4.282_713,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_82,org_pos_mass_321.131_3.671_82,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_826,org_pos_mass_854.377_4.186_826,MA,NG,not_impacted_by_treatment,MA and NG,No matches
org_pos_851,org_pos_mass_405.16_4.351_851,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_86,org_pos_mass_380.337_4.48_86,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Organic nitrogen compounds
org_pos_929,org_pos_mass_447.206_4.255_929,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
org_pos_936,org_pos_mass_214.253_4.16_936,MA,NG,MANG,MA and NG and MANG,No matches
org_pos_945,org_pos_mass_259.125_4.085_945,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
